=================== cloudesk serverlog ===================
Sun Feb 23 20:36:16 2020 |user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Sun Feb 23 20:37:45 2020  -  user: [;32;1mwk[;;1m [;31;1mlogin[;;1m success.
Thu Feb 27 18:41:57 2020  -  user: wk -  puts file1
Thu Feb 27 18:41:58 2020  -  user: wk -  ls 
Thu Feb 27 18:41:59 2020  -  user: wk -  cd 
Thu Feb 27 18:42:01 2020  -  user: wk -  exit  
Thu Feb 27 18:43:17 2020  -  user: wk -  login 
Thu Feb 27 18:43:18 2020  -  user: wk -  ls 
Thu Feb 27 18:43:21 2020  -  user: wk -  puts file1
Thu Feb 27 18:43:22 2020  -  user: wk -  ls 
Thu Feb 27 18:43:27 2020  -  user: wk -  mkdir folder
Thu Feb 27 18:43:30 2020  -  user: wk -  cd 
Thu Feb 27 18:43:30 2020  -  user: wk -  ls 
Thu Feb 27 18:43:32 2020  -  user: wk -  puts file1
Thu Feb 27 18:43:34 2020  -  user: wk -  exit  
Thu Feb 27 19:52:56 2020  -  user: wk -  login 
Thu Feb 27 19:53:01 2020  -  user: wk -  ls 
Thu Feb 27 19:53:05 2020  -  user: wk -  puts file
Thu Feb 27 19:53:07 2020  -  user: wk -  ls 
Thu Feb 27 19:53:27 2020  -  user: wk -  login 
Thu Feb 27 19:53:29 2020  -  user: wk -  ls 
Thu Feb 27 19:53:31 2020  -  user: wk -  gets file
Thu Feb 27 19:55:47 2020  -  user: wk -  login 
Thu Feb 27 19:55:48 2020  -  user: wk -  ls 
Thu Feb 27 19:55:50 2020  -  user: wk -  gets file
Thu Feb 27 19:57:58 2020  -  user: wk -  login 
Thu Feb 27 19:57:59 2020  -  user: wk -  ls 
Thu Feb 27 20:00:13 2020  -  user: wk -  login 
Thu Feb 27 20:00:14 2020  -  user: wk -  ls 
Thu Feb 27 20:00:17 2020  -  user: wk -  gets file
Thu Feb 27 20:00:46 2020  -  user: wk -  login 
Thu Feb 27 20:01:03 2020  -  user: wk -  login 
Thu Feb 27 20:01:07 2020  -  user: wk -  ls 
Thu Feb 27 20:01:09 2020  -  user: wk -  gets file
Thu Feb 27 20:01:20 2020  -  user: wk -  exit  
Thu Feb 27 20:01:20 2020  -  user: wk -  exit  
Thu Feb 27 20:02:02 2020  -  user: wk -  login 
Thu Feb 27 20:02:03 2020  -  user: wk -  ls 
Thu Feb 27 21:41:33 2020  -  user: wk -  login 
Thu Feb 27 21:41:36 2020  -  user: wk -  ls 
Thu Feb 27 21:53:26 2020  -  user: wk -  login 
Thu Feb 27 21:53:26 2020  -  user: wk -  ls 
Thu Feb 27 21:53:29 2020  -  user: wk -  gets file
Thu Feb 27 21:54:03 2020  -  user: wk -  login 
Thu Feb 27 21:54:04 2020  -  user: wk -  ls 
Thu Feb 27 21:54:06 2020  -  user: wk -  gets file
Thu Feb 27 21:54:14 2020  -  user: wk -  gets file
Thu Feb 27 21:54:22 2020  -  user: wk -  gets file
Thu Feb 27 21:54:30 2020  -  user: wk -  gets file
Thu Feb 27 21:54:32 2020  -  user: wk -  exit  
